month,lead_organisation,organisation_type,donor,sector,education_level,monitoring_indicator,main_activity,implementing_partner,county,sub_county,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments,source,number_schools,adm1_pcode,indicator_short,sector_reached
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Baringo,Marigat,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,64,134,NA,NA,Vulnerable Residents,198,"Learners benefitting from PSEAH sessions in 9 schools this reporting month ,the sessions which were facilitated by the CPVs saw boys and girls sensitized on FGM children rights, child labour and early marriages.",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE030,6. Children resilience enhancing,198
August,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Baringo,Tiaty West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,76,122,NA,NA,Vulnerable Residents,198,"Learners benefitting from PSEAH sessions in 8 schools this reporting month ,the sessions which were facilitated by the CPVs saw boys and girls sensitized on FGM children rights, child labour and early marriages.",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE030,6. Children resilience enhancing,198
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved enrolment of OOSC through door to door campaigns led by EDCs at the community level,Save the Children,Baringo,"Marigat 
Tiaty East",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,185,191,NA,NA,Vulnerable Residents,376,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE030,1. Access ECD spaces/schools,376
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Headteachers trained on mentorship, mental health and hygiene promotion.",Save the Children,Baringo,"Marigat 
Tiaty East",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,26,6,Vulnerable Residents,32,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE030,5. Educators resilience enhancing,32
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Re-enrolment drive campaigns at school level towards improved re-enrolment of OOSC through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Save the Children,Baringo,"Marigat 
Tiaty East",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,103,133,NA,NA,Vulnerable Residents,236,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,3,KE030,1. Access ECD spaces/schools,236
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Edcation officials trained on mentorship, mental health and hygiene promotion.",Save the Children,Baringo,"Marigat 
Tiaty East",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,3,2,Vulnerable Residents,5,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE030,5. Educators resilience enhancing,5
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved enrolment of OOSC through door to door campaigns led by EDCs at the community level,Finn Church Aid,Samburu,Samburu Central,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,514,364,NA,NA,Vulnerable Residents,878,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE025,1. Access ECD spaces/schools,878
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",A training was conducted to Capacity build school BOM on their roles and to ensure they have developed and or revitalized school strategic plans for their schools.,Finn Church Aid,Samburu,Samburu Central,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,28,3,Vulnerable Residents,31,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE025,5. Educators resilience enhancing,31
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training of headteachers and ICT champions on DAA to enable timley capture of the learners and daily attendance,Finn Church Aid,Samburu,Samburu Central,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,9,5,Vulnerable Residents,14,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE025,5. Educators resilience enhancing,14
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Assessment and enrollment of Children with special needs.,Special Olympics Kenya,Samburu,"Samburu East
Samburu North
Samburu Central",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,27,21,NA,NA,Persons with Disabilities,48,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE025,1. Access ECD spaces/schools,48
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Enrolment drive campaigns at school level towards improved enrolment of OOSC through door to door campaigns led by EDCs at the community level,Special Olympics Kenya,Samburu,"Samburu East
Samburu North
Samburu Central",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,12,16,NA,NA,Persons with Disabilities,28,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE025,5. Educators resilience enhancing,28
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved enrolment of OOSC through door to door campaigns led by EDCs at the community level,Finn Church Aid,West Pokot,"Kacheliba
Pokot North
Pokot Central",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,2477,2618,NA,NA,Vulnerable Residents,5095,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE024,1. Access ECD spaces/schools,5095
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Headteachers,guidnace and counseling teachers trained on mentorship, mental healthand osychosocial support (MPHSS) and child protection",Finn Church Aid,West Pokot,"Kacheliba
",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,24,8,Vulnerable Residents,32,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE024,5. Educators resilience enhancing,32
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training of headteachers and ICT champions on DAA to enable timley capture of the learners and daily attendance,Finn Church Aid,West Pokot,"Kacheliba
",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,21,11,Vulnerable Residents,32,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE024,5. Educators resilience enhancing,32
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Coordination of Curriculum Support Officers on effective monitoring and assesement of learners,Finn Church Aid,West Pokot,"Kacheliba
Pokot North
Pokot Central",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,2477,2618,NA,NA,Vulnerable Residents,5095,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE024,5. Educators resilience enhancing,5095
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrollment of Children with special needs,Special Olympics Kenya,West Pokot,"Pokot North 
Pokot South
Kacheliba
Pokot West",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,115,77,NA,NA,Persons with Disabilities,192,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE024,1. Access ECD spaces/schools,192
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Identification and assessment of OOSC children with Special needs,Special Olympics Kenya,West Pokot,"Pokot North 
Pokot South
Kacheliba
Pokot West",2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,710,468,NA,NA,Persons with Disabilities,1178,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,4,KE024,1. Access ECD spaces/schools,1178
July,UNICEF,United Nations,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","BOMs trained on resource mobilization, accountability,  mental health and PSS",Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,33,47,Refugees,80,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,7,KE023,5. Educators resilience enhancing,80
July,UNICEF,United Nations,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","ECE teachers trained on CBC, basic counselling skills, mental health and pyschosocial supoort.",Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,9,22,Refugees,31,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,7,KE023,5. Educators resilience enhancing,31
July,UNICEF,United Nations,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",ECD stakeholders participated in a  discussion meeting on how improve management and revamping the ECEs  in Kalobeyei settlement.,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,17,16,Refugees,33,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,7,KE023,5. Educators resilience enhancing,33
July,UNICEF,United Nations,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Teachers trained on CBC/CBA, PSS and mental health management",Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,63,15,Refugees,78,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,6,KE023,5. Educators resilience enhancing,78
July,UNICEF,United Nations,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",MOE officials facilitated to conduct classroom observation and review teacher proffessional documents.,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,5,1,Refugees,6,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,6,KE023,5. Educators resilience enhancing,6
July,UNICEF,United Nations,UNICEF,Education,All Basic Education,indicator 3 # of learners and teachers reached with learning and  teaching materials,The 6 primary schools and 2 secondary schools were supported with teaching and learning materials.,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,10224,7580,3001,1065,Refugees,21870,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,8,KE023,3. Teaching materials,0
July,UNICEF,United Nations,UNICEF,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Identification and enrollment of OOSC,Lifeskills Promoters,Turkana,Turkana Central,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,241,210,NA,NA,Vulnerable Residents,451,NA,Copy of 5W_ Education_Jul2023_lzo Report.xlsx,NA,KE023,1. Access ECD spaces/schools,451
July,Food for the Hungry,International NGO,FHUK,Education,ECE,indicator 3 # of learners and teachers reached with learning and  teaching materials,Provision of pre-primary work books and rubrics,Food for the Hungry,Meru,Buuri East,2023-01-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,331,350,0,34,Vulnerable Residents,715,NA,EIE 5ws_tempate- FH Kenya july.xlsx,17,KE012,3. Teaching materials,0
July,Food for the Hungry,International NGO,FHUK,Education,ECE,indicator 3 # of learners and teachers reached with learning and  teaching materials,Provision of pre-primary work books and rubrics,Food for the Hungry,Meru,Tigania West,2023-01-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,89,94,0,11,Vulnerable Residents,194,NA,EIE 5ws_tempate- FH Kenya july.xlsx,5,KE012,3. Teaching materials,0
July,Food for the Hungry,International NGO,FHUK,Education,ECE,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Rennovation of Pre-primary classrooms,Food for the Hungry,Meru,Buuri East,2023-06-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,56,61,2,12,Vulnerable Residents,131,NA,EIE 5ws_tempate- FH Kenya july.xlsx,2,KE012,1. Access ECD spaces/schools,131
July,Food for the Hungry,International NGO,FHUK,Education,Secondary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Life skills training and talent mentorship,Food for the Hungry,Meru,Buuri East,2023-01-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,56,41,6,8,Vulnerable Residents,111,NA,EIE 5ws_tempate- FH Kenya july.xlsx,1,KE012,6. Children resilience enhancing,111
July,Food for the Hungry,International NGO,FHUSA,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Provision of funds for school feeding,Food for the Hungry,Meru,Buuri East,2023-04-01T00:00:00Z,2023-08-01T00:00:00Z,Ongoing,56,41,6,8,Vulnerable Residents,111,NA,EIE 5ws_tempate- FH Kenya july.xlsx,1,KE012,1. Access ECD spaces/schools,111
July,Food for the Hungry,International NGO,FHUSA,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,Development of school farms for school feeding,Food for the Hungry,Meru,Buuri East,2023-01-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,411,380,15,15,Vulnerable Residents,821,NA,EIE 5ws_tempate- FH Kenya july.xlsx,6,KE012,2. Feeding programmes,821
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment of OOSC,Women Educational Researchers of Kenya,Kilifi,NA,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,226,340,NA,NA,NA,566,Enrolment of OOSC,EiE_5ws_tempate July_v1_20230720 Kajiado Kilifi Kwale.xlsx,NA,KE003,1. Access ECD spaces/schools,566
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment of OOSC,Women Educational Researchers of Kenya,Kajiado,NA,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,227,954,NA,NA,NA,1181,Enrolment of OOSC,EiE_5ws_tempate July_v1_20230720 Kajiado Kilifi Kwale.xlsx,NA,KE034,1. Access ECD spaces/schools,1181
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training on mentorship & lifeskills,Women Educational Researchers of Kenya,Kwale,NA,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,22,22,NA,NA,NA,44,Mentorship & Lifeskills training,EiE_5ws_tempate July_v1_20230720 Kajiado Kilifi Kwale.xlsx,NA,KE002,5. Educators resilience enhancing,44
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training of teachers on remedial and catch up classes,Women Educational Researchers of Kenya,Kilifi,NA,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,21,19,NA,NA,NA,40,Teacher training on remedial & catch up clasess,EiE_5ws_tempate July_v1_20230720 Kajiado Kilifi Kwale.xlsx,NA,KE003,5. Educators resilience enhancing,40
July,ChildFund Kenya,International NGO,ChildFund International,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of school food and food preparation training to tecahchers and Care givers,Nawiri Children Development Program,Marsabit,Saku,2023-04-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,216,230,0,0,Vulnerable Residents,446,NA,EiE_5ws_tempate_v1_20230720_childfund.xlsx,1,KE010,2. Feeding programmes,446
July,ChildFund Kenya,International NGO,ChildFund International,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of school food and food preparation training to tecahchers and Care givers,Nawiri Children Development Program,Isiolo,Isiolo,2023-04-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,432,397,0,0,Vulnerable Residents,829,NA,EiE_5ws_tempate_v1_20230720_childfund.xlsx,1,KE011,2. Feeding programmes,829
July,ChildFund Kenya,International NGO,ChildFund International,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of school food and food preparation training to tecahchers and Care givers,Nawiri Children Development Program,Samburu,Samburu North,2023-04-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,248,239,0,0,Vulnerable Residents,487,NA,EiE_5ws_tempate_v1_20230720_childfund.xlsx,1,KE025,2. Feeding programmes,487
July,ChildFund Kenya,International NGO,ChildFund International,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of school food and food preparation training to tecahchers and Care givers,Nawiri Children Development Program,Kajiado,Kajiado West,2023-04-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,502,487,0,0,Vulnerable Residents,989,NA,EiE_5ws_tempate_v1_20230720_childfund.xlsx,1,KE034,2. Feeding programmes,989
July,ChildFund Kenya,International NGO,ChildFund International,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of school food and food preparation training to tecahchers and Care givers,Nawiri Children Development Program,Turkana,Turkana Central,2023-04-01T00:00:00Z,2023-07-01T00:00:00Z,Ongoing,205,209,0,0,Vulnerable Residents,414,NA,EiE_5ws_tempate_v1_20230720_childfund.xlsx,1,KE023,2. Feeding programmes,414
July,Edukans,International NGO,Edukans,Education,Primary,indicator 3 # of learners and teachers reached with learning and  teaching materials,"A total of 8500 correct books, pens ink pots and wipes were distrubuted to 27 primary schools",Edukans,Samburu,27 schools,2023-01-01T00:00:00Z,2023-12-01T00:00:00Z,Completed,NA,4403,233,98,Persons with Disabilities,4734,NA,eie_5ws_tempate_v1_20230720_edukans_kenya.xlsx,NA,KE025,3. Teaching materials,0
July,Feed the Children,International NGO,FEED-SMP,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of mid morning snack (CSB- Corn Soya Blend porrridge),Feed the Children,Samburu,Samburu East,2023-05-01T00:00:00Z,2023-08-01T00:00:00Z,Ongoing,3640,3412,0,0,Vulnerable Residents,7052,NA,eie_5ws_tempate_v1_20230720_feed_the_children.xlsx,56,KE025,2. Feeding programmes,7052
July,Feed the Children,International NGO,FEED-SMP,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of mid morning snack (CSB- Corn Soya Blend porrridge),Feed the Children,Turkana,Turkana Central,2023-05-01T00:00:00Z,2023-08-01T00:00:00Z,Ongoing,5367,4823,0,0,Vulnerable Residents,10190,NA,eie_5ws_tempate_v1_20230720_feed_the_children.xlsx,46,KE023,2. Feeding programmes,10190
July,Feed the Children,International NGO,FEED-SMP,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of mid morning snack (CSB- Corn Soya Blend porrridge),Feed the Children,Kajiado,Kajiado Central,2023-05-01T00:00:00Z,2023-08-01T00:00:00Z,Ongoing,5922,5547,0,0,Vulnerable Residents,11469,NA,eie_5ws_tempate_v1_20230720_feed_the_children.xlsx,43,KE034,2. Feeding programmes,11469
August,Finn Church Aid,International NGO,UNHCR,Education,ECE,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Learners enrolled across 8 ECE Centres supported by FCA,Finn Church Aid,Turkana,Turkana West,2023-08-01T00:00:00Z,2023-08-01T00:00:00Z,Completed,2286,2125,NA,NA,Refugees,4411,Number of learners enrolled across ECD centres and benefitting from child friendly and safe learning environment.,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,1. Access ECD spaces/schools,4411
August,Finn Church Aid,International NGO,UNHCR,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Learners enrolled across 8 primary schools supported by FCA,Finn Church Aid,Turkana,Turkana West,2023-08-02T00:00:00Z,2023-08-01T00:00:00Z,Completed,11034,8400,NA,NA,Refugees,19434,Learners enrolled across 8 primary schools supported by FCA,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,1. Access ECD spaces/schools,19434
August,Finn Church Aid,International NGO,UNHCR,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Junior Secondary learners supported to access schools,Finn Church Aid,Turkana,Turkana West,2023-08-03T00:00:00Z,2023-08-01T00:00:00Z,Completed,983,601,NA,NA,Refugees,1584,Junior Secondary learners supported to access schools,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,1. Access ECD spaces/schools,1584
August,Finn Church Aid,International NGO,UNHCR,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Secondary school learners supported to access schools,Finn Church Aid,Turkana,Turkana West,2023-08-04T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,3015,1195,Refugees,4210,Secondary school learners supported to access schools,FCA_5W_ EiE_Aug-2023 Report.xlsx,2,KE023,1. Access ECD spaces/schools,4210
August,Finn Church Aid,International NGO,UNICEF,Education,ECE,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",County ECD officials facilitated to conduct classroom observation and review ECD teacher proffessional documents.,Finn Church Aid,Turkana,Turkana West,2023-08-05T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,3,1,Vulnerable Residents,4,County ECD officials who participated in classroom observations and checking teacher proffessional documents of ECD  teachers to assess their level of understanding of CBC principles in lesson delivery.,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,5. Educators resilience enhancing,4
August,Finn Church Aid,International NGO,UNICEF,Education,ECE,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",BOMs drawn from 6 ECD centres participated in a review meeting aimed at enhancing their participation in the management of ECD centres.,Finn Church Aid,Turkana,Turkana West,2023-08-06T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,35,55,Refugees,90,BOMs drawn from 6 ECD centres participated in a review meeting aimed at enhancing their participation in the management of schools.,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,5. Educators resilience enhancing,90
August,Finn Church Aid,International NGO,UNICEF,Education,ECE,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",BOMs drawn from 6 ECD centres participated in a review meeting aimed at enhancing their participation in the management of schools.,Finn Church Aid,Turkana,Turkana West,2023-08-07T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,18,27,Refugees,45,BOMs trained on resource mobilsation and monitoring quality standards of ECE centres.,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,5. Educators resilience enhancing,45
August,Finn Church Aid,International NGO,UNICEF,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",parents training on mental health and pyschosocial support,Finn Church Aid,Turkana,Turkana West,2023-08-08T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,106,394,Refugees,500,Parents trained on mental health and pyschosocial support for their children,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,5. Educators resilience enhancing,500
August,Finn Church Aid,International NGO,UNICEF,Education,Vocational,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Youth currently enrolled and undertaking digital marketing and web design courses.,Finn Church Aid,Turkana,Turkana West,2023-08-09T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,40,14,Refugees,54,Youth currently enrolled and undertaking 3 months digital marketing and web design training and set to graduate on 31st August 2023.,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,6. Children resilience enhancing,54
August,Finn Church Aid,International NGO,WUSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Adolescent girls group talk on ASRH,Finn Church Aid,Turkana,Turkana West,2023-08-01T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,325,NA,NA,Refugees,325,Adolescent girls provided with age appropriate guidance on SRH and GBV,FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,6. Children resilience enhancing,325
August,Finn Church Aid,International NGO,WUSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Girl mentors capacity built on power to girls,Finn Church Aid,Turkana,Turkana West,2023-08-02T00:00:00Z,2023-08-01T00:00:00Z,Completed,NA,NA,NA,22,Refugees,22,"22 girl mentors capacity built to promote inclusivity, and ensure the well-being of girls during delivery of gender responsive life skills sessions in safe spaces",FCA_5W_ EiE_Aug-2023 Report.xlsx,7,KE023,6. Children resilience enhancing,22
September,Women Educational Researchers of Kenya,National NGO,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment of OOSC,Women Educational Researchers of Kenya,Kilifi,NA,2023-09-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,333,376,NA,NA,Vulnerable Residents,709,NA,5W_ Education_Sep 2023 Kwale Kajiado Narok and Kilifi Report.xlsx,NA,KE003,1. Access ECD spaces/schools,709
September,Women Educational Researchers of Kenya,National NGO,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment of OOSC,Women Educational Researchers of Kenya,Narok,NA,2023-09-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,200,195,NA,NA,Vulnerable Residents,395,NA,5W_ Education_Sep 2023 Kwale Kajiado Narok and Kilifi Report.xlsx,NA,KE033,1. Access ECD spaces/schools,395
September,Women Educational Researchers of Kenya,National NGO,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Mentorship sessions,Women Educational Researchers of Kenya,Kajiado,NA,2023-09-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,1134,1325,NA,NA,Vulnerable Residents,2459,NA,5W_ Education_Sep 2023 Kwale Kajiado Narok and Kilifi Report.xlsx,NA,KE034,6. Children resilience enhancing,2459
September,Women Educational Researchers of Kenya,National NGO,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",MHPSS sessions,Women Educational Researchers of Kenya,Kajiado,NA,2023-09-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,267,322,NA,NA,Vulnerable Residents,589,NA,5W_ Education_Sep 2023 Kwale Kajiado Narok and Kilifi Report.xlsx,NA,KE034,6. Children resilience enhancing,589
September,Women Educational Researchers of Kenya,National NGO,EAC,Education,Secondary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Mentorship sessions,Women Educational Researchers of Kenya,Kilifi,NA,2023-09-01T00:00:00Z,2023-09-01T00:00:00Z,Ongoing,932,1268,NA,NA,Vulnerable Residents,2200,NA,5W_ Education_Sep 2023 Kwale Kajiado Narok and Kilifi Report.xlsx,NA,KE003,6. Children resilience enhancing,2200
