month,county,sub_indicator,value,sex_modifier,beneficiary_group,age_modifier,unicef_indicator_number,unicef_indicator
May, Tana River,indicator1_all_total,557,total,all,total,1,1. OOSC accessing formal education
May, Tana River,indicator1_all_boys,225,male,all,children,1,1. OOSC accessing formal education
May, Tana River,indicator1_all_girls,332,female,all,children,1,1. OOSC accessing formal education
May, Tana River,indicator1_host_community_boys,225,male,host_community,children,1,1. OOSC accessing formal education
May, Tana River,indicator1_host_community_girls,332,female,host_community,children,1,1. OOSC accessing formal education
May, Tana River,indicator5_all_total,1318,total,all,total,5,5. BoM trained resilience programmes
May, Tana River,indicator5_all_male,483,male,all,adults,5,5. BoM trained resilience programmes
May, Tana River,indicator5_all_female,835,female,all,adults,5,5. BoM trained resilience programmes
May, Tana River,indicator5_host_community_total,1318,total,host_community,NA,5,5. BoM trained resilience programmes
May, Tana River,indicator5_host_community_male,483,male,host_community,adults,5,5. BoM trained resilience programmes
May, Tana River,indicator5_host_community_female,835,female,host_community,adults,5,5. BoM trained resilience programmes
May, Tana River,indicator7_beneficiary_type_total,3769,total,NA,NA,7,7. Children life skills mentorship
May, Tana River,indicator7_all_boys,1320,male,all,children,7,7. Children life skills mentorship
May, Tana River,indicator7_all_girls,2449,female,all,children,7,7. Children life skills mentorship
May, Tana River,indicator7_host_community_total,3769,total,host_community,NA,7,7. Children life skills mentorship
May, Tana River,indicator7_host_community_boys,1320,male,host_community,children,7,7. Children life skills mentorship
May, Tana River,indicator7_host_community_girls,2449,female,host_community,children,7,7. Children life skills mentorship
January,Turkana,indicator1_all_total,2342,total,all,total,1,1. OOSC accessing formal education
January,Turkana,indicator1_all_boys,1364,male,all,children,1,1. OOSC accessing formal education
January,Turkana,indicator1_all_girls,978,female,all,children,1,1. OOSC accessing formal education
January,Turkana,indicator1_host_community_total,2342,total,host_community,NA,1,1. OOSC accessing formal education
January,Turkana,indicator1_host_community_boys,1364,male,host_community,children,1,1. OOSC accessing formal education
January,Turkana,indicator1_host_community_girls,978,female,host_community,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_all_total,1590,total,all,total,1,1. OOSC accessing formal education
February,Turkana,indicator1_all_boys,884,male,all,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_all_girls,706,female,all,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_host_community_total,179,total,host_community,NA,1,1. OOSC accessing formal education
February,Turkana,indicator1_host_community_boys,103,male,host_community,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_host_community_girls,76,female,host_community,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_refugees_total,1411,total,refugees,NA,1,1. OOSC accessing formal education
February,Turkana,indicator1_refugees_boys,781,male,refugees,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_refugees_girls,630,female,refugees,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_cwd_total,95,total,NA,NA,1,1. OOSC accessing formal education
February,Turkana,indicator1_cwd_boys,35,male,NA,children,1,1. OOSC accessing formal education
February,Turkana,indicator1_cwd_girls,60,female,NA,children,1,1. OOSC accessing formal education
February,Turkana,indicator3_all_total,20496,total,all,total,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_all_boys,11287,male,all,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_all_girls,9209,female,all,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_host_community_total,390,total,host_community,NA,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_host_community_boys,209,male,host_community,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_host_community_girls,181,female,host_community,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_refugees_total,20106,total,refugees,NA,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_refugees_boys,11078,male,refugees,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_refugees_girls,9028,female,refugees,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_cwd_total,770,total,NA,NA,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_cwd_boys,457,male,NA,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator3_cwd_girls,313,female,NA,children,3,3. Children who receive assistance to continue learning
February,Turkana,indicator4_all_total,150,total,all,total,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_all_male,119,male,all,adults,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_all_female,31,female,all,adults,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_host_community_total,28,total,host_community,NA,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_host_community_male,18,male,host_community,adults,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_host_community_female,10,female,host_community,adults,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_refugees_total,122,total,refugees,NA,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_refugees_male,101,male,refugees,adults,4,4. Teachers trained resilience programmes
February,Turkana,indicator4_refugees_female,21,female,refugees,adults,4,4. Teachers trained resilience programmes
February,Turkana,indicator5_all_total,303,total,all,total,5,5. BoM trained resilience programmes
February,Turkana,indicator5_all_male,232,male,all,adults,5,5. BoM trained resilience programmes
February,Turkana,indicator5_all_female,71,female,all,adults,5,5. BoM trained resilience programmes
February,Turkana,indicator5_host_community_total,8,total,host_community,NA,5,5. BoM trained resilience programmes
February,Turkana,indicator5_host_community_male,3,male,host_community,adults,5,5. BoM trained resilience programmes
February,Turkana,indicator5_host_community_female,5,female,host_community,adults,5,5. BoM trained resilience programmes
February,Turkana,indicator5_refugees_total,295,total,refugees,NA,5,5. BoM trained resilience programmes
February,Turkana,indicator5_refugees_male,229,male,refugees,adults,5,5. BoM trained resilience programmes
February,Turkana,indicator5_refugees_female,66,female,refugees,adults,5,5. BoM trained resilience programmes
February,Turkana,indicator7_beneficiary_type_total,105,total,NA,NA,7,7. Children life skills mentorship
February,Turkana,indicator7_all_girls,105,female,all,children,7,7. Children life skills mentorship
February,Turkana,indicator7_refugees_total,105,total,refugees,NA,7,7. Children life skills mentorship
February,Turkana,indicator7_refugees_girls,105,female,refugees,children,7,7. Children life skills mentorship
March,Turkana,indicator1_all_total,4236,total,all,total,1,1. OOSC accessing formal education
March,Turkana,indicator1_all_boys,2337,male,all,children,1,1. OOSC accessing formal education
March,Turkana,indicator1_all_girls,1899,female,all,children,1,1. OOSC accessing formal education
March,Turkana,indicator1_host_community_total,4236,total,host_community,NA,1,1. OOSC accessing formal education
March,Turkana,indicator1_host_community_boys,2337,male,host_community,children,1,1. OOSC accessing formal education
March,Turkana,indicator1_host_community_girls,1899,female,host_community,children,1,1. OOSC accessing formal education
March,Turkana,indicator1_cwd_total,1,total,NA,NA,1,1. OOSC accessing formal education
March,Turkana,indicator1_cwd_boys,1,male,NA,children,1,1. OOSC accessing formal education
March,Turkana,indicator3_all_total,49281,total,all,total,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_all_boys,29669,male,all,children,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_all_girls,19612,female,all,children,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_host_community_total,3598,total,host_community,NA,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_host_community_boys,1983,male,host_community,children,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_host_community_girls,1615,female,host_community,children,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_refugees_total,45683,total,refugees,NA,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_refugees_boys,27686,male,refugees,children,3,3. Children who receive assistance to continue learning
March,Turkana,indicator3_refugees_girls,17997,female,refugees,children,3,3. Children who receive assistance to continue learning
March,Turkana,indicator4_all_total,570,total,all,total,4,4. Teachers trained resilience programmes
March,Turkana,indicator4_all_male,345,male,all,adults,4,4. Teachers trained resilience programmes
March,Turkana,indicator4_all_female,225,female,all,adults,4,4. Teachers trained resilience programmes
March,Turkana,indicator4_host_community_male,299,male,host_community,adults,4,4. Teachers trained resilience programmes
March,Turkana,indicator4_host_community_female,219,female,host_community,adults,4,4. Teachers trained resilience programmes
March,Turkana,indicator4_refugees_total,52,total,refugees,NA,4,4. Teachers trained resilience programmes
March,Turkana,indicator4_refugees_male,46,male,refugees,adults,4,4. Teachers trained resilience programmes
March,Turkana,indicator4_refugees_female,6,female,refugees,adults,4,4. Teachers trained resilience programmes
March,Turkana,indicator7_beneficiary_type_total,27653,total,NA,NA,7,7. Children life skills mentorship
March,Turkana,indicator7_all_boys,17722,male,all,children,7,7. Children life skills mentorship
March,Turkana,indicator7_all_girls,9931,female,all,children,7,7. Children life skills mentorship
March,Turkana,indicator7_host_community_total,2827,total,host_community,NA,7,7. Children life skills mentorship
March,Turkana,indicator7_host_community_boys,1492,male,host_community,children,7,7. Children life skills mentorship
March,Turkana,indicator7_host_community_girls,1335,female,host_community,children,7,7. Children life skills mentorship
March,Turkana,indicator7_refugees_total,24826,total,refugees,NA,7,7. Children life skills mentorship
March,Turkana,indicator7_refugees_boys,16230,male,refugees,children,7,7. Children life skills mentorship
March,Turkana,indicator7_refugees_girls,8596,female,refugees,children,7,7. Children life skills mentorship
April,Turkana,indicator1_all_total,5774,total,all,total,1,1. OOSC accessing formal education
April,Turkana,indicator1_all_boys,2955,male,all,children,1,1. OOSC accessing formal education
April,Turkana,indicator1_all_girls,2819,female,all,children,1,1. OOSC accessing formal education
April,Turkana,indicator1_host_community_total,5750,total,host_community,NA,1,1. OOSC accessing formal education
April,Turkana,indicator1_host_community_boys,2940,male,host_community,children,1,1. OOSC accessing formal education
April,Turkana,indicator1_host_community_girls,2810,female,host_community,children,1,1. OOSC accessing formal education
April,Turkana,indicator1_refugees_total,24,total,refugees,NA,1,1. OOSC accessing formal education
April,Turkana,indicator1_refugees_boys,15,male,refugees,children,1,1. OOSC accessing formal education
April,Turkana,indicator1_refugees_girls,9,female,refugees,children,1,1. OOSC accessing formal education
April,Turkana,indicator1_cwd_total,500,total,NA,NA,1,1. OOSC accessing formal education
April,Turkana,indicator1_cwd_boys,220,male,NA,children,1,1. OOSC accessing formal education
April,Turkana,indicator1_cwd_girls,280,female,NA,children,1,1. OOSC accessing formal education
April,Turkana,indicator4_all_total,265,total,all,total,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_all_male,55,male,all,adults,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_all_female,210,female,all,adults,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_host_community_total,46,total,host_community,NA,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_host_community_male,10,male,host_community,adults,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_host_community_female,36,female,host_community,adults,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_refugees_total,219,total,refugees,NA,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_refugees_male,45,male,refugees,adults,4,4. Teachers trained resilience programmes
April,Turkana,indicator4_refugees_female,174,female,refugees,adults,4,4. Teachers trained resilience programmes
April,Turkana,indicator5_all_total,47,total,all,total,5,5. BoM trained resilience programmes
April,Turkana,indicator5_all_male,44,male,all,adults,5,5. BoM trained resilience programmes
April,Turkana,indicator5_all_female,3,female,all,adults,5,5. BoM trained resilience programmes
April,Turkana,indicator5_host_community_total,47,total,host_community,NA,5,5. BoM trained resilience programmes
April,Turkana,indicator5_host_community_male,44,male,host_community,adults,5,5. BoM trained resilience programmes
April,Turkana,indicator5_host_community_female,3,female,host_community,adults,5,5. BoM trained resilience programmes
April,Turkana,indicator7_beneficiary_type_total,1470,total,NA,NA,7,7. Children life skills mentorship
April,Turkana,indicator7_all_boys,734,male,all,children,7,7. Children life skills mentorship
April,Turkana,indicator7_all_girls,736,female,all,children,7,7. Children life skills mentorship
April,Turkana,indicator7_host_community_total,1470,total,host_community,NA,7,7. Children life skills mentorship
April,Turkana,indicator7_host_community_boys,734,male,host_community,children,7,7. Children life skills mentorship
April,Turkana,indicator7_host_community_girls,736,female,host_community,children,7,7. Children life skills mentorship
May,Turkana,indicator1_all_total,857,total,all,total,1,1. OOSC accessing formal education
May,Turkana,indicator1_all_boys,450,male,all,children,1,1. OOSC accessing formal education
May,Turkana,indicator1_all_girls,407,female,all,children,1,1. OOSC accessing formal education
May,Turkana,indicator1_host_community_boys,450,male,host_community,children,1,1. OOSC accessing formal education
May,Turkana,indicator1_host_community_girls,407,female,host_community,children,1,1. OOSC accessing formal education
June,Turkana,indicator7_beneficiary_type_total,720,total,NA,NA,7,7. Children life skills mentorship
June,Turkana,indicator7_all_boys,400,male,all,children,7,7. Children life skills mentorship
June,Turkana,indicator7_all_girls,320,female,all,children,7,7. Children life skills mentorship
June,Turkana,indicator7_host_community_total,720,total,host_community,NA,7,7. Children life skills mentorship
June,Turkana,indicator7_host_community_boys,400,male,host_community,children,7,7. Children life skills mentorship
June,Turkana,indicator7_host_community_girls,320,female,host_community,children,7,7. Children life skills mentorship
March, Wajir,indicator1_all_total,361,total,all,total,1,1. OOSC accessing formal education
March, Wajir,indicator1_all_boys,208,male,all,children,1,1. OOSC accessing formal education
March, Wajir,indicator1_all_girls,153,female,all,children,1,1. OOSC accessing formal education
March, Wajir,indicator1_host_community_total,361,total,host_community,NA,1,1. OOSC accessing formal education
March, Wajir,indicator1_host_community_boys,208,male,host_community,children,1,1. OOSC accessing formal education
March, Wajir,indicator1_host_community_girls,153,female,host_community,children,1,1. OOSC accessing formal education
May, Wajir,indicator1_all_total,326,total,all,total,1,1. OOSC accessing formal education
May, Wajir,indicator1_all_boys,210,male,all,children,1,1. OOSC accessing formal education
May, Wajir,indicator1_all_girls,116,female,all,children,1,1. OOSC accessing formal education
May, Wajir,indicator1_host_community_boys,210,male,host_community,children,1,1. OOSC accessing formal education
May, Wajir,indicator1_host_community_girls,116,female,host_community,children,1,1. OOSC accessing formal education
May, Wajir,indicator7_beneficiary_type_total,190,total,NA,NA,7,7. Children life skills mentorship
May, Wajir,indicator7_all_boys,114,male,all,children,7,7. Children life skills mentorship
May, Wajir,indicator7_all_girls,76,female,all,children,7,7. Children life skills mentorship
May, Wajir,indicator7_host_community_total,190,total,host_community,NA,7,7. Children life skills mentorship
May, Wajir,indicator7_host_community_boys,114,male,host_community,children,7,7. Children life skills mentorship
May, Wajir,indicator7_host_community_girls,76,female,host_community,children,7,7. Children life skills mentorship
January, West Pokot,indicator1_all_total,280,total,all,total,1,1. OOSC accessing formal education
January, West Pokot,indicator1_all_boys,149,male,all,children,1,1. OOSC accessing formal education
January, West Pokot,indicator1_all_girls,131,female,all,children,1,1. OOSC accessing formal education
January, West Pokot,indicator1_host_community_total,280,total,host_community,NA,1,1. OOSC accessing formal education
January, West Pokot,indicator1_host_community_boys,149,male,host_community,children,1,1. OOSC accessing formal education
January, West Pokot,indicator1_host_community_girls,131,female,host_community,children,1,1. OOSC accessing formal education
January, West Pokot,indicator4_all_total,29,total,all,total,4,4. Teachers trained resilience programmes
January, West Pokot,indicator4_all_male,10,male,all,adults,4,4. Teachers trained resilience programmes
January, West Pokot,indicator4_all_female,19,female,all,adults,4,4. Teachers trained resilience programmes
January, West Pokot,indicator4_host_community_total,29,total,host_community,NA,4,4. Teachers trained resilience programmes
January, West Pokot,indicator4_host_community_male,10,male,host_community,adults,4,4. Teachers trained resilience programmes
January, West Pokot,indicator4_host_community_female,19,female,host_community,adults,4,4. Teachers trained resilience programmes
March, West Pokot,indicator1_all_total,1769,total,all,total,1,1. OOSC accessing formal education
March, West Pokot,indicator1_all_boys,901,male,all,children,1,1. OOSC accessing formal education
March, West Pokot,indicator1_all_girls,868,female,all,children,1,1. OOSC accessing formal education
March, West Pokot,indicator1_host_community_total,1769,total,host_community,NA,1,1. OOSC accessing formal education
March, West Pokot,indicator1_host_community_boys,901,male,host_community,children,1,1. OOSC accessing formal education
March, West Pokot,indicator1_host_community_girls,868,female,host_community,children,1,1. OOSC accessing formal education
March, West Pokot,indicator5_all_total,45,total,all,total,5,5. BoM trained resilience programmes
March, West Pokot,indicator5_all_male,37,male,all,adults,5,5. BoM trained resilience programmes
March, West Pokot,indicator5_all_female,8,female,all,adults,5,5. BoM trained resilience programmes
March, West Pokot,indicator5_host_community_total,45,total,host_community,NA,5,5. BoM trained resilience programmes
March, West Pokot,indicator5_host_community_male,37,male,host_community,adults,5,5. BoM trained resilience programmes
March, West Pokot,indicator5_host_community_female,8,female,host_community,adults,5,5. BoM trained resilience programmes
April, West Pokot,indicator1_all_total,2875,total,all,total,1,1. OOSC accessing formal education
April, West Pokot,indicator1_all_boys,1470,male,all,children,1,1. OOSC accessing formal education
April, West Pokot,indicator1_all_girls,1405,female,all,children,1,1. OOSC accessing formal education
April, West Pokot,indicator1_host_community_boys,1470,male,host_community,children,1,1. OOSC accessing formal education
April, West Pokot,indicator1_host_community_girls,1405,female,host_community,children,1,1. OOSC accessing formal education
April, West Pokot,indicator1_cwd_total,250,total,NA,NA,1,1. OOSC accessing formal education
April, West Pokot,indicator1_cwd_boys,110,male,NA,children,1,1. OOSC accessing formal education
April, West Pokot,indicator1_cwd_girls,140,female,NA,children,1,1. OOSC accessing formal education
April, West Pokot,indicator4_all_total,29,total,all,total,4,4. Teachers trained resilience programmes
April, West Pokot,indicator4_all_male,10,male,all,adults,4,4. Teachers trained resilience programmes
April, West Pokot,indicator4_all_female,19,female,all,adults,4,4. Teachers trained resilience programmes
April, West Pokot,indicator4_host_community_total,29,total,host_community,NA,4,4. Teachers trained resilience programmes
April, West Pokot,indicator4_host_community_male,10,male,host_community,adults,4,4. Teachers trained resilience programmes
April, West Pokot,indicator4_host_community_female,19,female,host_community,adults,4,4. Teachers trained resilience programmes
May, West Pokot,indicator1_all_total,44,total,all,total,1,1. OOSC accessing formal education
May, West Pokot,indicator1_all_boys,28,male,all,children,1,1. OOSC accessing formal education
May, West Pokot,indicator1_all_girls,16,female,all,children,1,1. OOSC accessing formal education
May, West Pokot,indicator1_host_community_boys,28,male,host_community,children,1,1. OOSC accessing formal education
May, West Pokot,indicator1_host_community_girls,16,female,host_community,children,1,1. OOSC accessing formal education
June, West Pokot,indicator1_all_total,1223,total,all,total,1,1. OOSC accessing formal education
June, West Pokot,indicator1_all_boys,559,male,all,children,1,1. OOSC accessing formal education
June, West Pokot,indicator1_all_girls,664,female,all,children,1,1. OOSC accessing formal education
June, West Pokot,indicator1_host_community_boys,559,male,host_community,children,1,1. OOSC accessing formal education
June, West Pokot,indicator1_host_community_girls,664,female,host_community,children,1,1. OOSC accessing formal education
