month,county,sub_indicator,value,char_value,sex_modifier,beneficiary_group,age_modifier,unicef_indicator_number,unicef_indicator
February,Kitui,indicator7_idps_total_children,0,0,total,idps,children,7,7. Children life skills mentorship
February,Kitui,indicator7_idps_boys,0,0,male,idps,children,7,7. Children life skills mentorship
February,Kitui,indicator7_idps_girls,0,0,female,idps,children,7,7. Children life skills mentorship
February,Kitui,indicator7_refugees_total_children,0,0,total,refugees,children,7,7. Children life skills mentorship
February,Kitui,indicator7_refugees_boys,0,0,male,refugees,children,7,7. Children life skills mentorship
February,Kitui,indicator7_refugees_girls,0,0,female,refugees,children,7,7. Children life skills mentorship
February,Kitui,indicator7_cwd_total_children,0,0,total,cwd,children,7,7. Children life skills mentorship
February,Kitui,indicator7_cwd_boys,0,0,male,cwd,children,7,7. Children life skills mentorship
February,Kitui,indicator7_cwd_girls,0,0,female,cwd,children,7,7. Children life skills mentorship
February,Kitui,indicator7_narrative,NA,"NA",NA,NA,NA,7,7. Children life skills mentorship
March,Kitui,indicator1_all_total_children,0,0,total,all,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_all_boys,0,0,male,all,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_all_girls,0,0,female,all,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_host_community_total_children,0,0,total,host_community,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_host_community_boys,0,0,male,host_community,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_host_community_girls,0,0,female,host_community,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_idps_total_children,0,0,total,idps,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_idps_boys,0,0,male,idps,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_idps_girls,0,0,female,idps,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_refugees_total_children,0,0,total,refugees,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_refugees_boys,0,0,male,refugees,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_refugees_girls,0,0,female,refugees,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_cwd_total_children,0,0,total,cwd,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_cwd_boys,0,0,male,cwd,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_cwd_girls,0,0,female,cwd,children,1,1. OOSC accessing formal education
March,Kitui,indicator1_narrative,NA,"NA",NA,NA,NA,1,1. OOSC accessing formal education
March,Kitui,indicator2_all_total_children,0,0,total,all,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_all_boys,0,0,male,all,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_all_girls,0,0,female,all,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_host_community_total_children,0,0,total,host_community,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_host_community_boys,0,0,male,host_community,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_host_community_girls,0,0,female,host_community,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_idps_total_children,0,0,total,idps,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_idps_boys,0,0,male,idps,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_idps_girls,0,0,female,idps,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_refugees_total_children,0,0,total,refugees,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_refugees_boys,0,0,male,refugees,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_refugees_girls,0,0,female,refugees,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_cwd_total_children,0,0,total,cwd,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_cwd_boys,0,0,male,cwd,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_cwd_girls,0,0,female,cwd,children,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_new_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_rehabiltated_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_new_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_rehabilitated_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator2_narrative,NA,"NA",NA,NA,NA,2,2. Children benefiting from child-friendly environment
March,Kitui,indicator3_all_total_children,0,0,total,all,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_all_boys,0,0,male,all,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_all_girls,0,0,female,all,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_host_community_total_children,0,0,total,host_community,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_host_community_boys,0,0,male,host_community,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_host_community_girls,0,0,female,host_community,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_idps_total_children,0,0,total,idps,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_idps_boys,0,0,male,idps,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_idps_girls,0,0,female,idps,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_refugees_total_children,0,0,total,refugees,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_refugees_boys,0,0,male,refugees,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_refugees_girls,0,0,female,refugees,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_cwd_total_children,0,0,total,cwd,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_cwd_boys,0,0,male,cwd,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_cwd_girls,0,0,female,cwd,children,3,3. Children who receive assistance to continue learning
March,Kitui,indicator3_narrative,NA,"NA",NA,NA,NA,3,3. Children who receive assistance to continue learning
March,Kitui,indicator4_all_total_adults,0,0,total,all,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_all_male,0,0,male,all,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_all_female,0,0,female,all,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_host_community_total_adults,0,0,total,host_community,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_host_community_male,0,0,male,host_community,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_host_community_female,0,0,female,host_community,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_idps_total_adults,0,0,total,idps,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_idps_male,0,0,male,idps,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_idps_female,0,0,female,idps,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_refugees_total_adults,0,0,total,refugees,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_refugees_male,0,0,male,refugees,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_refugees_female,0,0,female,refugees,adults,4,4. Teachers trained resilience programmes
March,Kitui,indicator4_narrative,NA,"NA",NA,NA,NA,4,4. Teachers trained resilience programmes
March,Kitui,indicator5_all_total_adults,0,0,total,all,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_all_male,0,0,male,all,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_all_female,0,0,female,all,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_host_community_total_adults,0,0,total,host_community,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_host_community_male,0,0,male,host_community,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_host_community_female,0,0,female,host_community,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_idps_total_adults,0,0,total,idps,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_idps_male,0,0,male,idps,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_idps_female,0,0,female,idps,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_refugees_total_adults,0,0,total,refugees,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_refugees_male,0,0,male,refugees,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_refugees_female,0,0,female,refugees,adults,5,5. BoM trained resilience programmes
March,Kitui,indicator5_narrative,NA,"NA",NA,NA,NA,5,5. BoM trained resilience programmes
March,Kitui,indicator6_all_total_adults,0,0,total,all,adults,6,6. Govt. officials trained
March,Kitui,indicator6_all_male,0,0,male,all,adults,6,6. Govt. officials trained
March,Kitui,indicator6_all_female,0,0,female,all,adults,6,6. Govt. officials trained
March,Kitui,indicator6_narrative,NA,"NA",NA,NA,NA,6,6. Govt. officials trained
March,Kitui,indicator7_all_total_children,0,0,total,all,children,7,7. Children life skills mentorship
March,Kitui,indicator7_all_boys,0,0,male,all,children,7,7. Children life skills mentorship
March,Kitui,indicator7_all_girls,0,0,female,all,children,7,7. Children life skills mentorship
March,Kitui,indicator7_host_community_total_children,0,0,total,host_community,children,7,7. Children life skills mentorship
March,Kitui,indicator7_host_community_boys,0,0,male,host_community,children,7,7. Children life skills mentorship
March,Kitui,indicator7_host_community_girls,0,0,female,host_community,children,7,7. Children life skills mentorship
March,Kitui,indicator7_idps_total_children,0,0,total,idps,children,7,7. Children life skills mentorship
March,Kitui,indicator7_idps_boys,0,0,male,idps,children,7,7. Children life skills mentorship
March,Kitui,indicator7_idps_girls,0,0,female,idps,children,7,7. Children life skills mentorship
March,Kitui,indicator7_refugees_total_children,0,0,total,refugees,children,7,7. Children life skills mentorship
March,Kitui,indicator7_refugees_boys,0,0,male,refugees,children,7,7. Children life skills mentorship
March,Kitui,indicator7_refugees_girls,0,0,female,refugees,children,7,7. Children life skills mentorship
March,Kitui,indicator7_cwd_total_children,0,0,total,cwd,children,7,7. Children life skills mentorship
March,Kitui,indicator7_cwd_boys,0,0,male,cwd,children,7,7. Children life skills mentorship
March,Kitui,indicator7_cwd_girls,0,0,female,cwd,children,7,7. Children life skills mentorship
March,Kitui,indicator7_narrative,NA,"NA",NA,NA,NA,7,7. Children life skills mentorship
April,Kitui,indicator1_all_total_children,0,0,total,all,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_all_boys,0,0,male,all,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_all_girls,0,0,female,all,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_host_community_total_children,0,0,total,host_community,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_host_community_boys,0,0,male,host_community,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_host_community_girls,0,0,female,host_community,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_idps_total_children,0,0,total,idps,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_idps_boys,0,0,male,idps,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_idps_girls,0,0,female,idps,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_refugees_total_children,0,0,total,refugees,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_refugees_boys,0,0,male,refugees,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_refugees_girls,0,0,female,refugees,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_cwd_total_children,0,0,total,cwd,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_cwd_boys,0,0,male,cwd,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_cwd_girls,0,0,female,cwd,children,1,1. OOSC accessing formal education
April,Kitui,indicator1_narrative,NA,"NA",NA,NA,NA,1,1. OOSC accessing formal education
April,Kitui,indicator2_all_total_children,0,0,total,all,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_all_boys,0,0,male,all,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_all_girls,0,0,female,all,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_host_community_total_children,0,0,total,host_community,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_host_community_boys,0,0,male,host_community,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_host_community_girls,0,0,female,host_community,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_idps_total_children,0,0,total,idps,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_idps_boys,0,0,male,idps,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_idps_girls,0,0,female,idps,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_refugees_total_children,0,0,total,refugees,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_refugees_boys,0,0,male,refugees,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_refugees_girls,0,0,female,refugees,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_cwd_total_children,0,0,total,cwd,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_cwd_boys,0,0,male,cwd,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_cwd_girls,0,0,female,cwd,children,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_new_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_rehabiltated_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_new_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_rehabilitated_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator2_narrative,NA,"NA",NA,NA,NA,2,2. Children benefiting from child-friendly environment
April,Kitui,indicator3_all_total_children,0,0,total,all,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_all_boys,0,0,male,all,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_all_girls,0,0,female,all,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_host_community_total_children,0,0,total,host_community,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_host_community_boys,0,0,male,host_community,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_host_community_girls,0,0,female,host_community,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_idps_total_children,0,0,total,idps,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_idps_boys,0,0,male,idps,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_idps_girls,0,0,female,idps,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_refugees_total_children,0,0,total,refugees,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_refugees_boys,0,0,male,refugees,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_refugees_girls,0,0,female,refugees,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_cwd_total_children,0,0,total,cwd,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_cwd_boys,0,0,male,cwd,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_cwd_girls,0,0,female,cwd,children,3,3. Children who receive assistance to continue learning
April,Kitui,indicator3_narrative,NA,"NA",NA,NA,NA,3,3. Children who receive assistance to continue learning
April,Kitui,indicator4_all_total_adults,0,0,total,all,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_all_male,0,0,male,all,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_all_female,0,0,female,all,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_host_community_total_adults,0,0,total,host_community,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_host_community_male,0,0,male,host_community,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_host_community_female,0,0,female,host_community,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_idps_total_adults,0,0,total,idps,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_idps_male,0,0,male,idps,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_idps_female,0,0,female,idps,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_refugees_total_adults,0,0,total,refugees,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_refugees_male,0,0,male,refugees,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_refugees_female,0,0,female,refugees,adults,4,4. Teachers trained resilience programmes
April,Kitui,indicator4_narrative,NA,"NA",NA,NA,NA,4,4. Teachers trained resilience programmes
April,Kitui,indicator5_all_total_adults,0,0,total,all,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_all_male,0,0,male,all,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_all_female,0,0,female,all,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_host_community_total_adults,0,0,total,host_community,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_host_community_male,0,0,male,host_community,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_host_community_female,0,0,female,host_community,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_idps_total_adults,0,0,total,idps,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_idps_male,0,0,male,idps,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_idps_female,0,0,female,idps,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_refugees_total_adults,0,0,total,refugees,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_refugees_male,0,0,male,refugees,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_refugees_female,0,0,female,refugees,adults,5,5. BoM trained resilience programmes
April,Kitui,indicator5_narrative,NA,"NA",NA,NA,NA,5,5. BoM trained resilience programmes
April,Kitui,indicator6_all_total_adults,0,0,total,all,adults,6,6. Govt. officials trained
April,Kitui,indicator6_all_male,0,0,male,all,adults,6,6. Govt. officials trained
April,Kitui,indicator6_all_female,0,0,female,all,adults,6,6. Govt. officials trained
April,Kitui,indicator6_narrative,NA,"NA",NA,NA,NA,6,6. Govt. officials trained
April,Kitui,indicator7_all_total_children,0,0,total,all,children,7,7. Children life skills mentorship
April,Kitui,indicator7_all_boys,0,0,male,all,children,7,7. Children life skills mentorship
April,Kitui,indicator7_all_girls,0,0,female,all,children,7,7. Children life skills mentorship
April,Kitui,indicator7_host_community_total_children,0,0,total,host_community,children,7,7. Children life skills mentorship
April,Kitui,indicator7_host_community_boys,0,0,male,host_community,children,7,7. Children life skills mentorship
April,Kitui,indicator7_host_community_girls,0,0,female,host_community,children,7,7. Children life skills mentorship
April,Kitui,indicator7_idps_total_children,0,0,total,idps,children,7,7. Children life skills mentorship
April,Kitui,indicator7_idps_boys,0,0,male,idps,children,7,7. Children life skills mentorship
April,Kitui,indicator7_idps_girls,0,0,female,idps,children,7,7. Children life skills mentorship
April,Kitui,indicator7_refugees_total_children,0,0,total,refugees,children,7,7. Children life skills mentorship
April,Kitui,indicator7_refugees_boys,0,0,male,refugees,children,7,7. Children life skills mentorship
April,Kitui,indicator7_refugees_girls,0,0,female,refugees,children,7,7. Children life skills mentorship
April,Kitui,indicator7_cwd_total_children,0,0,total,cwd,children,7,7. Children life skills mentorship
April,Kitui,indicator7_cwd_boys,0,0,male,cwd,children,7,7. Children life skills mentorship
April,Kitui,indicator7_cwd_girls,0,0,female,cwd,children,7,7. Children life skills mentorship
April,Kitui,indicator7_narrative,NA,"NA",NA,NA,NA,7,7. Children life skills mentorship
May,Kitui,indicator1_all_total_children,0,0,total,all,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_all_boys,0,0,male,all,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_all_girls,0,0,female,all,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_host_community_total_children,0,0,total,host_community,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_host_community_boys,0,0,male,host_community,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_host_community_girls,0,0,female,host_community,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_idps_total_children,0,0,total,idps,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_idps_boys,0,0,male,idps,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_idps_girls,0,0,female,idps,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_refugees_total_children,0,0,total,refugees,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_refugees_boys,0,0,male,refugees,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_refugees_girls,0,0,female,refugees,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_cwd_total_children,0,0,total,cwd,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_cwd_boys,0,0,male,cwd,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_cwd_girls,0,0,female,cwd,children,1,1. OOSC accessing formal education
May,Kitui,indicator1_narrative,NA,"NA",NA,NA,NA,1,1. OOSC accessing formal education
May,Kitui,indicator2_all_total_children,0,0,total,all,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_all_boys,0,0,male,all,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_all_girls,0,0,female,all,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_host_community_total_children,0,0,total,host_community,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_host_community_boys,0,0,male,host_community,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_host_community_girls,0,0,female,host_community,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_idps_total_children,0,0,total,idps,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_idps_boys,0,0,male,idps,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_idps_girls,0,0,female,idps,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_refugees_total_children,0,0,total,refugees,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_refugees_boys,0,0,male,refugees,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_refugees_girls,0,0,female,refugees,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_cwd_total_children,0,0,total,cwd,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_cwd_boys,0,0,male,cwd,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_cwd_girls,0,0,female,cwd,children,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_new_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_rehabiltated_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_new_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_rehabilitated_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator2_narrative,NA,"NA",NA,NA,NA,2,2. Children benefiting from child-friendly environment
May,Kitui,indicator3_all_total_children,0,0,total,all,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_all_boys,0,0,male,all,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_all_girls,0,0,female,all,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_host_community_total_children,0,0,total,host_community,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_host_community_boys,0,0,male,host_community,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_host_community_girls,0,0,female,host_community,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_idps_total_children,0,0,total,idps,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_idps_boys,0,0,male,idps,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_idps_girls,0,0,female,idps,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_refugees_total_children,0,0,total,refugees,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_refugees_boys,0,0,male,refugees,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_refugees_girls,0,0,female,refugees,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_cwd_total_children,0,0,total,cwd,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_cwd_boys,0,0,male,cwd,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_cwd_girls,0,0,female,cwd,children,3,3. Children who receive assistance to continue learning
May,Kitui,indicator3_narrative,NA,"NA",NA,NA,NA,3,3. Children who receive assistance to continue learning
May,Kitui,indicator4_all_total_adults,0,0,total,all,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_all_male,0,0,male,all,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_all_female,0,0,female,all,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_host_community_total_adults,0,0,total,host_community,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_host_community_male,0,0,male,host_community,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_host_community_female,0,0,female,host_community,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_idps_total_adults,0,0,total,idps,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_idps_male,0,0,male,idps,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_idps_female,0,0,female,idps,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_refugees_total_adults,0,0,total,refugees,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_refugees_male,0,0,male,refugees,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_refugees_female,0,0,female,refugees,adults,4,4. Teachers trained resilience programmes
May,Kitui,indicator4_narrative,NA,"NA",NA,NA,NA,4,4. Teachers trained resilience programmes
May,Kitui,indicator5_all_total_adults,0,0,total,all,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_all_male,0,0,male,all,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_all_female,0,0,female,all,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_host_community_total_adults,0,0,total,host_community,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_host_community_male,0,0,male,host_community,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_host_community_female,0,0,female,host_community,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_idps_total_adults,0,0,total,idps,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_idps_male,0,0,male,idps,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_idps_female,0,0,female,idps,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_refugees_total_adults,0,0,total,refugees,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_refugees_male,0,0,male,refugees,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_refugees_female,0,0,female,refugees,adults,5,5. BoM trained resilience programmes
May,Kitui,indicator5_narrative,NA,"NA",NA,NA,NA,5,5. BoM trained resilience programmes
May,Kitui,indicator6_all_total_adults,0,0,total,all,adults,6,6. Govt. officials trained
May,Kitui,indicator6_all_male,0,0,male,all,adults,6,6. Govt. officials trained
May,Kitui,indicator6_all_female,0,0,female,all,adults,6,6. Govt. officials trained
May,Kitui,indicator6_narrative,NA,"NA",NA,NA,NA,6,6. Govt. officials trained
May,Kitui,indicator7_all_total_children,0,0,total,all,children,7,7. Children life skills mentorship
May,Kitui,indicator7_all_boys,0,0,male,all,children,7,7. Children life skills mentorship
May,Kitui,indicator7_all_girls,0,0,female,all,children,7,7. Children life skills mentorship
May,Kitui,indicator7_host_community_total_children,0,0,total,host_community,children,7,7. Children life skills mentorship
May,Kitui,indicator7_host_community_boys,0,0,male,host_community,children,7,7. Children life skills mentorship
May,Kitui,indicator7_host_community_girls,0,0,female,host_community,children,7,7. Children life skills mentorship
May,Kitui,indicator7_idps_total_children,0,0,total,idps,children,7,7. Children life skills mentorship
May,Kitui,indicator7_idps_boys,0,0,male,idps,children,7,7. Children life skills mentorship
May,Kitui,indicator7_idps_girls,0,0,female,idps,children,7,7. Children life skills mentorship
