month,lead_organisation,organisation_type,donor,sector,education_level,indicator,activity,implementing_partner,county,sub_county,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments,source,number_schools,adm1_pcode,indicator_short,sector_reached
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Finn Church Aid,West Pokot,"Pokot North
Pokot Central 
Kacheliba",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,28,16,NA,NA,Vulnerable Residents,44,NA,5W_ Education_Jun 2023 Report_unicef_lzo_20230627.xlsx,NA,KE024,1. Access ECD spaces/schools,44
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mapping and identification of out of school children with disabilities.,Special Olympics Kenya,West Pokot,"Pokot North 
Kacheliba
Pokot West",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,200,150,Vulnerable Residents,350,NA,5W_ Education_Jun 2023 Report_unicef_lzo_20230627.xlsx,NA,KE024,1. Access ECD spaces/schools,350
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Finn Church Aid,West Pokot,"Kacheliba
Pokot North
Pokot Central",2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,559,664,NA,NA,Vulnerable Residents,1223,NA,5W_ Education_Jun 2023 Report_unicef_lzo_20230627.xlsx,NA,KE024,1. Access ECD spaces/schools,1223
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Board of Management (BOM) were trained on their roles and responsibilities, functions, and the development of a School Improvement Plan (SIP).
",Finn Church Aid,West Pokot,Pokot Central,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,NA,NA,15,36,NA,51,NA,5W_ Education_Jun 2023 Report_unicef_lzo_20230627.xlsx,NA,KE024,5. Educators resilience enhancing,51
April,Population Council,International NGO,Wellspring Philanthropic Fund,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Household visits coupled with school re-entry policy sensitization (of families and schools) to foster out-of-school parenting and pregnant girls' return to school,Homa Bay County,Homa Bay,All subcounties,2022-01-01T00:00:00Z,2022-04-01T00:00:00Z,Completed,301,401,4000,1000,Vulnerable Residents,5702,NA,5W_ Education_Jun 2023 Report_unicef_lzo_20230627.xlsx,1,KE043,1. Access ECD spaces/schools,5702
June,Lifeskills Promoters,National NGO,UNICEF - Operation Come to School,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Turkana,Loima,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,141,178,0,0,Vulnerable Residents,319,NA,5W_ Education_June 2023 Report_LISP_20230626.xlsx,41,KE023,1. Access ECD spaces/schools,319
June,Lifeskills Promoters,National NGO,UNICEF - Operation Come to School,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Turkana,Turkana Central,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,478,442,0,0,Vulnerable Residents,920,NA,5W_ Education_June 2023 Report_LISP_20230626.xlsx,59,KE023,1. Access ECD spaces/schools,920
April,Population Council,International NGO,Wellspring Philanthropic Fund,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Household visits coupled with school re-entry policy sensitization (of families and schools) to foster out-of-school parenting and pregnant girls' return to school,Homa Bay County,Homa Bay,All subcounties,2022-01-01T00:00:00Z,2022-04-01T00:00:00Z,Completed,301,401,4000,1000,Vulnerable Residents,5702,NA,5W_ Education_June 2023 Report_LISP_20230626.xlsx,1,KE043,1. Access ECD spaces/schools,5702
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,NA,Completed,73,50,NA,NA,NA,123,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,60,KE010,1. Access ECD spaces/schools,123
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Support accelerated education program for out of school children and youths in Marsabit,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,NA,Completed,120,96,NA,NA,NA,216,Accelerated Education program,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,60,KE010,1. Access ECD spaces/schools,216
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training of teachers on MHPPS,Save the Children,Wajir,Eldas and Buna,NA,NA,Completed,22,3,NA,NA,NA,25,Teachers trained on MHPSS and child protection activties,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,15,KE008,5. Educators resilience enhancing,25
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Learners trained on school Based mentorship,Save the Children,Wajir,NA,NA,NA,Completed,1377,1152,NA,NA,NA,2529,Learners provided with mentorship to support retention,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,135,KE008,6. Children resilience enhancing,2529
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,NA,Completed,230,197,NA,NA,NA,427,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,66,KE004,1. Access ECD spaces/schools,427
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",training of teachers on inclusive education,County Director of Education Marsabit,Marsabit,Laisamis and Moyale,NA,NA,Completed,162,24,NA,NA,NA,186,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,77,KE010,5. Educators resilience enhancing,186
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,NA,Completed,230,197,NA,NA,NA,427,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,66,KE004,1. Access ECD spaces/schools,427
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",children trained on school based mentoship,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,NA,Completed,2500,2750,NA,NA,NA,5250,NA,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,66,KE004,6. Children resilience enhancing,5250
April,Population Council,International NGO,Wellspring Philanthropic Fund,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Household visits coupled with school re-entry policy sensitization (of families and schools) to foster out-of-school parenting and pregnant girls' return to school,Homa Bay County,Homa Bay,All subcounties,2022-01-01T00:00:00Z,2022-04-01T00:00:00Z,Completed,301,401,4000,1000,Vulnerable Residents,5702,NA,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,1,KE043,1. Access ECD spaces/schools,5702
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,NA,Completed,210,231,NA,NA,NA,441,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,60,KE010,1. Access ECD spaces/schools,441
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Training of children on  child protection, child rights, gender norms, GBV and  PSEA",Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,NA,Completed,134,154,NA,NA,NA,288,Training of leaners on child protection and GBV issues.,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,60,KE010,6. Children resilience enhancing,288
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Lifeskills Promoters,Isiolo,"Isiolo central, Merti,Garbatulla, Oldonyiro, Cherab, Sericho",NA,NA,Completed,283,278,NA,NA,NA,561,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,NA,KE011,1. Access ECD spaces/schools,561
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Save the Children,Wajir,"Buna, Eladas, South, Habaswein, Korandile, Bute",NA,NA,Completed,181,141,NA,NA,NA,322,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,135,KE008,1. Access ECD spaces/schools,322
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",MHPSS support for learners,Save the Children,Wajir,NA,NA,NA,Completed,293,128,NA,NA,NA,421,Learners provided Mental Health and Psychosocial Service (MHPSS) and protection services,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,135,KE008,6. Children resilience enhancing,421
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,NA,Completed,229,161,NA,NA,NA,390,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,66,KE004,1. Access ECD spaces/schools,390
June,Qatar Charity,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Qatar Charity,Garissa,Garissa Township,NA,NA,Completed,802,739,NA,NA,NA,1541,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,29,KE007,1. Access ECD spaces/schools,1541
April,Population Council,International NGO,Wellspring Philanthropic Fund,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Household visits coupled with school re-entry policy sensitization (of families and schools) to foster out-of-school parenting and pregnant girls' return to school,Homa Bay County,Homa Bay,All subcounties,2022-01-01T00:00:00Z,2022-04-01T00:00:00Z,Completed,301,401,4000,1000,Vulnerable Residents,5702,NA,5W_ UNICEF_GZO input  June  2023 Report 26062026.xlsx,1,KE043,1. Access ECD spaces/schools,5702
January,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,NA,Completed,271,229,NA,NA,Vulnerable Residents,500,Out of school children moblized back to school,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE010,1. Access ECD spaces/schools,500
January,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Lifeskills Promoters,Isiolo,"Isiolo central, Merti,Garbatulla, Oldonyiro, Cherab, Sericho",NA,NA,Completed,784,746,NA,NA,Vulnerable Residents,1530,Out of school children moblized back to school,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE011,1. Access ECD spaces/schools,1530
January,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Enrollment Drive Committees (EDCs) in 13 primary schools within Samburu County have been sensitized and supported to carry out mapping for OOSC at school level. The ECDs were also sensitized on their roles towards bringing OOSC back to school.,Finn Church Aid,Samburu,"Samburu central
Samburu East",2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,NA,38,12,NA,50,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,13,KE025,5. Educators resilience enhancing,50
January,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","In Turkana County, four coordination meetings with DCCs, ACCs, SCDEs, Ward and Village Admins and members of village enrolment committees were conducted to revise communication pathways during mobilization exercises and strengthen coordination between Village Enrolment Committees and School administration.",Save the Children,Turkana,"Turkana North 
Kibish",2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,NA,81,18,NA,99,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE023,5. Educators resilience enhancing,99
January,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","In providing MHPSS support to OOSC by teachers in Baringo County, one-day workshop was conducted for guidance and counselling teachers drawn from 17 schools. The workshop aimed equipping teachers with skills on identification of vulnerable children affected by GBV, drug abuse and harmful cultural practices and how to offer victims psychosocial support or refer cases that need specialized or legal attention.",Save the Children,Baringo,Marigat,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,NA,13,4,NA,17,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,17,KE030,5. Educators resilience enhancing,17
January,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out Of School Children enrolled,Finn Church Aid,Samburu,"Samburu central
Samburu East",2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,51,36,NA,NA,Vulnerable Residents,87,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE025,1. Access ECD spaces/schools,87
January,UNICEF,United Nations,EAC,Education,NA,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out Of School Children enrolled,Finn Church Aid,Turkana,"Turkana North 
Kibish",2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,574,368,NA,NA,Vulnerable Residents,942,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE023,1. Access ECD spaces/schools,942
January,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out Of School Children enrolled,Finn Church Aid,West Pokot,"Pokot Central
Pokot North 
Kacheliba",2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,149,131,NA,NA,Vulnerable Residents,280,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE024,1. Access ECD spaces/schools,280
January,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out Of School Children enrolled,Lifeskills Promoters,Turkana,"Turkana Central 
Loima",2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,790,610,NA,NA,Vulnerable Residents,1400,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE023,1. Access ECD spaces/schools,1400
January,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Out Of School Children enrolled,Save the Children,Baringo,"Tiaty East 
Marigat",2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,97,66,NA,NA,Vulnerable Residents,163,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE030,1. Access ECD spaces/schools,163
January,Finn Church Aid,International NGO,BPRM,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",592 girls beneffitted from information sharing session on Menstrual Hygiene Management,Finn Church Aid,Turkana,Turkana West,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,0,592,NA,NA,Vulnerable Residents,592,"592 girls from Settlement, Morning star, Joy  and Friends Primary school beneffitted from information sharing sessions on Menstrual Hygiene Management.",CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,4,KE023,6. Children resilience enhancing,592
January,Finn Church Aid,International NGO,BPRM,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",200 Girls from future primary trained on Menstrual Health Management at Future primary,Finn Church Aid,Turkana,Turkana West,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,200,NA,NA,Vulnerable Residents,200,"200 girls were trained on Menstrual Health Management at Future primary. The training covered various aspects of safe and hygienic management of menstruation, understanding adolescence, and gender equality",CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,1,KE023,6. Children resilience enhancing,200
January,Finn Church Aid,International NGO,UNICEF,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",30 Teachers trained on mentorship and establishment of mentorship.,Finn Church Aid,Turkana,Turkana West,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,0,0,25,5,Vulnerable Residents,30,"30 (25m,5F) teachers were trained on mentorship and establishment of mentorship forums facilitated by TSC officials.",CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,7,KE023,5. Educators resilience enhancing,30
January,Finn Church Aid,International NGO,BPRM,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","30(22M,8F) school heads on administration and management.",Finn Church Aid,Turkana,Turkana West,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,0,0,22,8,Vulnerable Residents,30,"30(22M,8F) school heads  trained on administration and management. The training comprised head teachers, deputies, and senior teachers from target schools. This was geared towards enhancing their administrative and managerial skills including inclusive education aspect. The participants were further trained on FCA’s code of conduct, PSEA, GBV, as well child safeguarding policies.",CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,7,KE023,5. Educators resilience enhancing,30
January,We World,International NGO,EU,Education,ECE & Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Technical assistance by Agricultural officers  in 23 schools,We World,Isiolo,"Isiolo Central,Garbatulla and Merti",2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,4718,4933,NA,NA,Vulnerable Residents,9651,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE011,6. Children resilience enhancing,9651
January,World Vision Kenya,International NGO,Austraria,Education,ECE & Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,conducted back to school campain,World Vision Kenya,Marsabit,Moyale,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,865,776,NA,NA,Vulnerable Residents,1641,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE010,1. Access ECD spaces/schools,1641
January,World Vision Kenya,International NGO,Austraria,Education,ECE,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",capacity building of ECD teachers on learning methodology to improve quality of education,World Vision Kenya,Marsabit,Moyale,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,0,0,33,8,Vulnerable Residents,41,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE010,5. Educators resilience enhancing,41
January,World Vision Kenya,International NGO,Austraria,Education,ECE,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",lifeskill training for caregiver with children under age of 6 years,World Vision Kenya,Marsabit,Moyale,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,212,183,0,0,Vulnerable Residents,395,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE010,6. Children resilience enhancing,395
January,World Vision Kenya,International NGO,World Vision Canada,Education,ECE,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Training and supplies to community Health Volunteers in home case management, referral, monitoring, and risk communication for COVID-19, as well as on acceptance, uptake and compliance on vaccination",World Vision Kenya,Taita Taveta,Taveta Sub CountyDepartment of Health,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,0,0,17,28,Vulnerable Residents,45,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,NA,KE006,5. Educators resilience enhancing,45
January,AVSI Foundation,International NGO,Servants of the poor,Education,All Basic Education,indicator 2 # of schools/ECD spaces with feeding programmes,provided food to the children  ( Feeding ),Servants of the Poor,Kajiado,Kajiado North,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,81,112,3,6,Vulnerable Residents,202,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,4,KE034,2. Feeding programmes,202
January,AVSI Foundation,International NGO,KCDF,Education,Vocational,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Placed in various training centres,Evangelizing Sisters of Mary,Kajiado,Kajiado North,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,7,16,0,0,Vulnerable Residents,23,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,1,KE034,6. Children resilience enhancing,23
January,AVSI Foundation,International NGO,DSP-AVSI,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrollment of three students in Sec school,IWS,Baringo,Tiaty,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,1,2,NA,NA,Vulnerable Residents,3,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,1,KE030,1. Access ECD spaces/schools,3
January,AVSI Foundation,International NGO,DSP-AVSI,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Graduation of seven adults in the Adult Education,IWS,Baringo,Tiaty,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,NA,2,5,Vulnerable Residents,7,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,1,KE030,5. Educators resilience enhancing,7
January,AVSI Foundation,International NGO,BRM,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","69 heads of institutions (headteachers, deputy headteachers, and senior ) graduated on 1",AVSI Foundation,Garissa,DADAAB/FAFI,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,NA,68,1,Refugees,69,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,22,KE007,5. Educators resilience enhancing,69
January,AVSI Foundation,International NGO,BRM,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",50 ecde teachers ongoing with their 3-year diploma training,AVSI Foundation,Garissa,DADAAB/FAFI,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,NA,48,2,Refugees,50,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,22,KE007,5. Educators resilience enhancing,50
January,AVSI Foundation,International NGO,BRM,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",100(25F) teachers trained in Guidance and Counselling,AVSI Foundation,Garissa,DADAAB/FAFI,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Completed,NA,NA,75,25,Refugees,100,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,22,KE007,5. Educators resilience enhancing,100
April,Population Council,International NGO,Wellspring Philanthropic Fund,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Household visits coupled with school re-entry policy sensitization (of families and schools) to foster out-of-school parenting and pregnant girls' return to school,Homa Bay County,Homa Bay,All subcounties,2022-01-01T00:00:00Z,2022-04-01T00:00:00Z,Completed,301,401,4000,1000,Vulnerable Residents,5702,NA,CONSOLIDATED 5W_ Education_Jan 2023 Report.xlsx,1,KE043,1. Access ECD spaces/schools,5702
March,Lifeskills Promoters,National NGO,UNICEF-Operation come to school,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, identification and enrollment of Out of School Children back to school.",Lifeskills Promoters,Turkana,"Loima, Turkana Central",2023-03-01T00:00:00Z,2023-08-01T00:00:00Z,Completed,363,347,0,0,Vulnerable Residents,710,NA,Consolidated 5W_ Education_Mar 2023 Report.xlsx,100,KE023,1. Access ECD spaces/schools,710
March,Finn Church Aid,International NGO,BPRM,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,New enrollment,Finn Church Aid,Turkana,Turkana West,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,190,193,NA,NA,Vulnerable Residents,383,Activity completed. 383 new learners enrolled in the month of March.,Consolidated 5W_ Education_Mar 2023 Report.xlsx,8,KE023,1. Access ECD spaces/schools,383
March,Finn Church Aid,International NGO,UNHCR,Education,ECE & Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Learners supported to access learning spaces in Kalobeyei,Finn Church Aid,Turkana,Turkana West,2023-03-01T00:00:00Z,2023-03-01T00:00:00Z,Completed,9069,7260,NA,NA,Vulnerable Residents,16329,Activity completed.,Consolidated 5W_ Education_Mar 2023 Report.xlsx,8,KE023,1. Access ECD spaces/schools,16329
March,Finn Church Aid,International NGO,UNHCR,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Learners supported to access learning spaces in Kalobeyei,Finn Church Aid,Turkana,Turkana West,2023-03-01T00:00:00Z,2023-03-01T00:00:00Z,Completed,775,463,NA,NA,Vulnerable Residents,1238,Activity completed.,Consolidated 5W_ Education_Mar 2023 Report.xlsx,1,KE023,1. Access ECD spaces/schools,1238
March,Lifeskills Promoters,National NGO,UNICEF-Operation come to school,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, identification and enrollment of Out of School Children back to school.",Lifeskills Promoters,Isiolo,"Merti, Garbatulla, Oldonyiro, Isiolo Central",2023-03-01T00:00:00Z,2023-08-01T00:00:00Z,Completed,339,315,0,0,Vulnerable Residents,654,NA,Consolidated 5W_ Education_Mar 2023 Report.xlsx,55,KE011,1. Access ECD spaces/schools,654
March,UNICEF,United Nations,EAC,Education,ECE & Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment and retention of children,County Director of Education Wajir,Wajir,Wajir,2023-03-01T00:00:00Z,2023-03-01T00:00:00Z,Completed,208,153,NA,NA,NA,361,NA,Consolidated 5W_ Education_Mar 2023 Report.xlsx,NA,KE008,1. Access ECD spaces/schools,361
March,UNICEF,United Nations,EAC,Education,ECE & Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment and retention of children,Finn Church Aid,Marsabit,Marsabit,2023-03-01T00:00:00Z,2023-03-01T00:00:00Z,Completed,1003,597,NA,NA,NA,1600,NA,Consolidated 5W_ Education_Mar 2023 Report.xlsx,60,KE010,1. Access ECD spaces/schools,1600
