county,month,indicator1_all_total,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,indicator2_all_total,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,indicator3_all_total,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,indicator4_all_total,indicator4_all_male,indicator4_all_female,indicator4_host_community_total,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,indicator5_all_total,indicator5_all_male,indicator5_all_female,indicator5_host_community_total,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,indicator6_all_total,indicator6_all_male,indicator6_all_female,indicator6_narrative,indicator7_all_total,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
 Kilifi,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kilifi,Mar,757,400,357,757,400,357,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,64,32,32,64,32,32,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,788,160,628,788,160,628,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kilifi,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kilifi,May,89,52,37,89,52,37,0,NA,NA,0,NA,NA,0,NA,NA,one enrolment drive,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,89,52,37,89,52,37,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kilifi,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kisumu,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kisumu,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kisumu,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kisumu,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kisumu,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kisumu,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kitui,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kitui,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kitui,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kitui,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kitui,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kitui,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kwale,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kwale,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kwale,Mar,442,200,242,442,200,242,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2000,1200,800,2000,1200,800,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kwale,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kwale,May,359,200,159,359,200,159,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kwale,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Laikipia,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Laikipia,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Laikipia,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Laikipia,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Laikipia,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Laikipia,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Lamu,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Lamu,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Lamu,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Lamu,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Lamu,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Lamu,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Makueni,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Makueni,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Makueni,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Makueni,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Makueni,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Makueni,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Mandera,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Mandera,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Mandera,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,600,360,240,600,360,240,0,NA,NA,0,NA,NA,0,NA,NA,UNICEF  supported CDE Mandera to provide 200 desks benefiting 600 children,150,139,11,150,139,11,0,NA,NA,0,NA,NA,A total of 150 teachers were provided with incentives by CDE mandera through UNICEF support to provide catch up classes for newly enrolled children in 100 target schools.,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Mandera,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Mandera,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Mandera,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Marsabit,Jan,500,271,229,500,271,229,0,NA,NA,0,NA,NA,0,NA,NA,Moblization of OOSC back to school,2548,1303,1245,2548,1303,1245,0,NA,NA,0,NA,NA,0,NA,NA,NA,10,NA,NA,"2 latrine units in each of the following  5 schools Hekima primary, Saku primary, Boruharo primary, St Peter primary and Badassa primary schools",0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
